Case #1:  2 1
Case #2:  88 16
Case #3:  575 43
Case #4:  290 18
Case #5:  418 31
Case #6:  880 29
Case #7:  1000 1000
Case #8:  230 230
Case #9:  0 0
Case #10:  656 656
Case #11:  133 10
Case #12:  121 13
Case #13:  617 35
Case #14:  786 36
Case #15:  275 13
Case #16:  0 0
Case #17:  349 20
Case #18:  48 12
Case #19:  165 19
Case #20:  318 20
Case #21:  0 0
Case #22:  0 0
Case #23:  347 35
Case #24:  715 42
Case #25:  67 6
Case #26:  895 45
Case #27:  0 0
Case #28:  71 11
Case #29:  13 2
Case #30:  0 0
Case #31:  821 821
Case #32:  533 31
Case #33:  530 25
Case #34:  949 49
Case #35:  540 35
Case #36:  50 4
Case #37:  200 26
Case #38:  135 10
Case #39:  0 0
Case #40:  126 16
Case #41:  34 6
Case #42:  0 0
Case #43:  676 676
Case #44:  109 12
Case #45:  169 13
Case #46:  51 7
Case #47:  349 30
Case #48:  778 27
Case #49:  456 29
Case #50:  766 24
